MMM	68.33	69.93	67.85	68.85	8901700.0	61.93	0.52	0.76%
ACE	59.0	62.43	55.5	55.56	8971300.0	50.51	-3.44	-5.83%
ABT	59.22	59.57	56.5	57.25	10861400.0	50.0	-1.97	-3.33%
ANF	46.86	47.87	43.52	43.76	6105300.0	40.67	-3.10	-6.62%
ACN	36.41	36.48	35.11	35.27	3357500.0	32.42	-1.14	-3.13%
ADBE	39.05	39.69	36.23	36.23	12494900.0	36.23	-2.82	-7.22%
AMD	5.13	5.29	4.85	4.9	25876500.0	4.9	-0.23	-4.48%
AES	12.2	12.46	11.13	11.23	17203000.0	11.23	-0.97	-7.95%
AET	39.18	39.76	37.33	37.4	5004100.0	36.36	-1.78	-4.54%
AFL	57.99	59.24	55.81	56.46	7399300.0	50.86	-1.53	-2.64%
A	30.59	30.71	29.6	29.75	3829000.0	29.6	-0.84	-2.75%
GAS	31.36	31.91	31.07	31.41	982600.0	26.55	0.05	0.16%
APD	84.43	84.97	79.03	79.1	3922100.0	70.97	-5.33	-6.31%
ARG	55.38	55.85	53.71	54.36	1116100.0	51.0	-1.02	-1.84%
AKAM	17.24	17.7	17.0	17.01	5887100.0	17.01	-0.23	-1.33%
AA	26.15	26.72	24.98	25.17	20919200.0	23.54	-0.98	-3.75%
ALXN	40.57	41.92	37.19	37.25	5084400.0	18.62	-3.32	-8.18%
ATI	39.94	39.94	35.14	38.09	3211200.0	35.51	-1.85	-4.63%
AGN	57.89	58.68	55.9	56.74	3269600.0	56.13	-1.15	-1.99%
ALL	44.43	45.92	42.77	42.85	10777500.0	37.92	-1.58	-3.56%
ANR	57.94	61.98	53.27	54.94	6046000.0	54.94	-3.00	-5.18%
ALTR	20.16	20.97	19.86	19.98	10739600.0	19.32	-0.18	-0.89%
MO	20.59	20.71	19.74	19.87	33192800.0	15.55	-0.72	-3.50%
AMZN	77.68	78.24	71.24	71.54	13165600.0	71.54	-6.14	-7.90%
AEE	39.87	40.27	39.01	39.29	1935500.0	31.6	-0.58	-1.45%
AEP	37.18	37.25	34.99	35.04	5144200.0	28.97	-2.14	-5.76%
AXP	35.35	35.88	31.68	33.04	37399600.0	30.37	-2.31	-6.53%
AIG	2.29	3.1	1.99	2.05	27305000.0	34.35	-0.24	-10.48%
AMT	38.16	38.17	35.29	35.41	5817900.0	35.18	-2.75	-7.21%
AMP	40.83	41.73	37.54	37.83	6643900.0	35.01	-3.00	-7.35%
ABC	39.32	39.85	37.85	37.91	4894800.0	18.08	-1.41	-3.59%
AMGN	64.3	65.0	61.54	61.73	19793100.0	61.09	-2.57	-4.00%
APH	44.24	44.24	42.15	42.15	2214400.0	41.78	-2.09	-4.72%
APC	53.6	54.94	50.8	51.38	12818400.0	50.17	-2.22	-4.14%
ADI	26.1	26.1	25.12	25.37	9216500.0	22.57	-0.73	-2.80%
AON	45.68	47.59	44.97	45.22	6888800.0	42.9	-0.46	-1.01%
APA	108.99	111.88	103.59	106.58	6704800.0	103.81	-2.41	-2.21%
AIV	33.05	33.67	30.23	30.69	7225700.0	21.27	-2.36	-7.14%
APOL	67.04	67.79	62.73	62.73	3952900.0	62.73	-4.31	-6.43%
AAPL	138.49	138.51	127.83	127.83	42873400.0	127.83	-10.66	-7.70%
AMAT	16.27	16.84	15.7	15.7	36676800.0	14.39	-0.57	-3.50%
ADM	22.4	22.72	21.31	21.31	8285300.0	19.72	-1.09	-4.87%
AIZ	54.68	55.6	50.38	50.77	3095400.0	46.92	-3.91	-7.15%
T	29.41	29.64	28.25	28.8	53769200.0	22.67	-0.61	-2.07%
ADSK	33.69	33.76	31.84	32.15	5762600.0	32.15	-1.54	-4.57%
ADP	43.89	44.06	42.36	42.4	3716300.0	37.61	-1.49	-3.39%
AN	12.47	12.77	11.47	11.74	4068300.0	11.74	-0.73	-5.85%
AZO	131.32	132.86	128.09	128.19	1226600.0	128.19	-3.13	-2.38%
AVB	94.45	96.64	89.1	90.72	2610100.0	74.95	-3.73	-3.95%
AVY	44.77	45.97	44.29	44.69	1857700.0	39.12	-0.08	-0.18%
AVP	40.56	40.56	39.05	39.5	6799800.0	34.61	-1.06	-2.61%
BHI	63.0	65.06	60.98	64.74	9336900.0	61.68	1.74	2.76%
BLL	43.31	43.75	41.09	41.67	3072200.0	20.24	-1.64	-3.79%
BAC	28.62	29.4	26.52	27.2	174479800.0	26.19	-1.42	-4.96%
BK	36.65	36.75	31.56	33.1	37240500.0	30.54	-3.55	-9.69%
BCR	96.0	96.7	94.66	95.61	1048600.0	92.54	-0.39	-0.41%
BAX	68.27	68.28	65.68	65.95	4764800.0	60.52	-2.32	-3.40%
BBT	35.15	36.0	33.15	35.44	19600700.0	30.86	0.29	0.83%
BEAM	58.65	58.78	57.4	57.48	1206500.0	53.25	-1.17	-1.99%
BDX	80.0	80.44	78.71	78.71	2172200.0	73.2	-1.29	-1.61%
BBBY	31.49	31.85	30.52	30.52	9004100.0	30.52	-0.97	-3.08%
BMS	28.21	28.4	27.13	27.31	1633800.0	24.13	-0.90	-3.19%
BRK.B	4200.0	4200.0	4096.0	4165.0	54000.0	83.3	-35.00	-0.83%
BBY	41.05	42.0	39.61	39.79	13275700.0	36.81	-1.26	-3.07%
BIG	30.39	30.82	29.21	29.22	3099000.0	29.22	-1.17	-3.85%
BIIB	47.21	48.23	45.37	45.37	5068900.0	45.37	-1.84	-3.90%
BLK	193.74	208.65	180.63	188.0	1537500.0	170.58	-5.74	-2.96%
HRB	23.12	23.42	22.61	22.72	3161700.0	19.47	-0.40	-1.73%
BMC	31.07	31.75	30.7	30.87	2777600.0	30.87	-0.20	-0.64%
BA	60.88	61.0	56.43	57.0	14830200.0	51.26	-3.88	-6.37%
BXP	92.93	93.2	85.98	87.0	2777600.0	77.14	-5.93	-6.38%
BSX	12.14	12.63	11.99	12.07	17029600.0	12.07	-0.07	-0.58%
BMY	20.96	21.44	20.36	20.64	28305000.0	16.96	-0.32	-1.53%
BRCM	20.12	20.45	19.2	19.2	15962700.0	18.71	-0.92	-4.57%
CHRW	53.53	54.65	52.11	52.34	3125500.0	48.7	-1.19	-2.22%
