MMM	75.81	77.81	75.48	77.57	3534100.0	63.59	1.76	2.32%
ACE	36.93	37.47	36.31	37.1	2040000.0	31.44	0.17	0.46%
ABT	40.85	42.57	40.85	42.43	4857100.0	33.8	1.58	3.87%
ANF	37.2	38.73	37.2	38.59	1719000.0	34.43	1.39	3.74%
ACN	23.91	24.6	23.85	24.44	2916600.0	21.72	0.53	2.22%
ADBE	54.49	56.08	53.81	55.98	9092800.0	27.98	1.49	2.73%
AMD	15.67	16.29	15.65	16.23	8634900.0	16.23	0.56	3.57%
AES	11.3	11.65	11.27	11.38	3956200.0	11.38	0.08	0.71%
AET	89.3	92.7	88.4	91.75	9888800.0	22.24	2.45	2.74%
AFL	34.0	36.18	33.85	35.79	13169800.0	30.61	1.79	5.26%
A	24.23	25.11	24.14	24.98	2660800.0	23.42	0.75	3.10%
GAS	30.7	31.26	30.58	31.25	166700.0	22.42	0.55	1.79%
APD	53.81	54.01	52.75	53.8	1724000.0	44.84	-0.01	-0.02%
ARG	23.98	24.34	23.95	24.33	292400.0	22.11	0.35	1.46%
AKAM	15.11	16.5	15.06	16.42	4946400.0	16.42	1.31	8.67%
AA	32.9	33.48	32.75	33.37	4390600.0	28.66	0.47	1.43%
ALXN	17.38	18.19	17.37	18.16	763600.0	4.54	0.78	4.49%
ATI	17.6	17.75	17.16	17.55	737300.0	15.82	-0.05	-0.28%
AGN	69.72	72.26	69.64	72.1	1614000.0	35.11	2.38	3.41%
ALL	47.4	47.83	47.1	47.83	2575100.0	38.1	0.43	0.91%
ALTR	21.93	22.8	21.63	22.71	8659400.0	21.69	0.78	3.56%
MO	46.9	48.21	46.82	48.03	5977300.0	7.28	1.13	2.41%
AMZN	33.63	34.63	33.62	34.23	9060700.0	34.23	0.60	1.78%
AEE	48.24	48.47	47.77	47.78	842500.0	31.34	-0.46	-0.95%
AEP	32.9	33.29	32.9	33.28	1278400.0	23.62	0.38	1.16%
AXP	51.82	52.69	51.6	52.55	4131200.0	40.59	0.73	1.41%
AIG	60.4	60.71	59.65	60.02	666700.0	955.66	-0.38	-0.63%
AMT	16.35	16.77	16.24	16.7	1898600.0	16.59	0.35	2.14%
ABC	53.2	55.86	53.2	55.44	19425200.0	12.64	2.24	4.21%
AMGN	54.74	56.75	54.59	56.02	11864300.0	55.44	1.28	2.34%
APH	34.0	34.61	33.75	34.47	2583000.0	16.95	0.47	1.38%
APC	70.9	71.55	68.26	68.6	6711800.0	32.52	-2.30	-3.24%
ADI	38.75	40.32	38.65	40.23	3113500.0	33.36	1.48	3.82%
AON	21.25	21.64	20.83	21.61	2991900.0	19.06	0.36	1.69%
APA	54.05	54.35	51.5	51.77	4136100.0	49.19	-2.28	-4.22%
AIV	35.9	36.3	35.88	36.25	381500.0	18.11	0.35	0.97%
APOL	66.99	68.36	66.36	68.29	4232200.0	68.29	1.30	1.94%
AAPL	48.51	50.62	48.17	50.3	42624800.0	25.15	1.79	3.69%
AMAT	15.75	16.18	15.64	16.14	44277700.0	14.26	0.39	2.48%
ADM	17.07	17.35	17.01	17.3	2741800.0	15.16	0.23	1.35%
AIZ	26.3	26.43	26.09	26.2	274200.0	23.43	-0.10	-0.38%
T	24.7	25.18	24.55	24.96	8199500.0	16.57	0.26	1.05%
ADSK	50.32	51.74	50.15	51.5	2578000.0	25.73	1.18	2.34%
ADP	42.55	43.41	42.3	43.26	2212100.0	31.93	0.71	1.67%
AN	16.57	16.8	16.47	16.69	720000.0	16.69	0.12	0.72%
AZO	81.35	82.6	80.81	82.09	549200.0	82.09	0.74	0.91%
AVB	65.75	66.15	65.55	66.12	394600.0	48.37	0.37	0.56%
AVY	59.8	60.77	59.6	60.76	385000.0	47.62	0.96	1.61%
AVP	41.83	42.34	41.06	42.31	2296600.0	34.2	0.48	1.15%
BHI	44.05	44.74	42.52	43.0	3529900.0	39.72	-1.05	-2.38%
BLL	37.4	37.69	37.0	37.63	845800.0	17.62	0.23	0.61%
BAC	43.76	44.5	43.65	44.36	8503000.0	35.01	0.60	1.37%
BK	31.75	32.44	31.61	32.4	4016800.0	28.89	0.65	2.05%
BCR	56.02	57.25	55.99	56.99	838700.0	53.7	0.97	1.73%
BAX	29.89	30.79	29.8	30.57	2254500.0	26.16	0.68	2.28%
BBT	40.42	40.77	40.14	40.77	1033800.0	29.99	0.35	0.87%
BEAM	72.49	73.01	71.61	72.8	691000.0	58.69	0.31	0.43%
BDX	51.35	51.99	51.15	51.38	1178500.0	45.32	0.03	0.06%
BBBY	39.71	40.68	39.67	40.42	4063700.0	40.42	0.71	1.79%
BMS	25.28	25.84	25.24	25.77	397000.0	20.46	0.49	1.94%
BRK.B	2810.0	2822.0	2770.0	2799.0	9800.0	55.98	-11.00	-0.39%
BBY	57.96	59.65	57.85	59.22	5364400.0	35.37	1.26	2.17%
BIG	12.11	12.27	11.96	12.21	379800.0	12.21	0.10	0.83%
BIIB	55.92	58.65	55.87	58.52	4565100.0	58.52	2.60	4.65%
BLK	72.75	74.4	72.63	73.18	61400.0	62.7	0.43	0.59%
HRB	46.39	46.5	45.72	46.44	1938600.0	18.05	0.05	0.11%
BMC	18.23	18.65	18.2	18.65	1184000.0	18.65	0.42	2.30%
BA	51.0	51.25	49.8	50.1	5435700.0	42.2	-0.90	-1.76%
BXP	59.29	59.3	58.69	59.23	510200.0	41.8	-0.06	-0.10%
BSX	35.22	35.76	35.0	35.28	6401400.0	35.28	0.06	0.17%
BMY	23.3	24.01	23.25	23.96	6639100.0	16.59	0.66	2.83%
BRCM	25.88	26.96	25.82	26.78	24526800.0	17.4	0.90	3.48%
CHRW	54.05	54.25	52.45	53.84	1894000.0	23.74	-0.21	-0.39%
CA	27.3	27.73	27.16	27.56	3573300.0	25.69	0.26	0.95%
CVC	20.09	20.7	19.9	20.21	1507000.0	8.25	0.12	0.60%
COG	43.37	44.25	42.2	43.03	2629200.0	7.0	-0.34	-0.78%
CAM	52.2	52.83	49.65	50.03	9785600.0	12.51	-2.17	-4.16%
CPB	26.34	26.87	26.24	26.81	1146300.0	21.69	0.47	1.78%
COF	72.75	73.89	72.1	73.72	1723500.0	68.01	0.97	1.33%
CAH	44.5	48.55	44.5	47.35	16428100.0	26.16	2.85	6.40%
KMX	26.1	26.6	25.94	26.14	2979800.0	13.07	0.04	0.15%
CCL	50.47	50.65	49.98	50.56	2799400.0	43.23	0.09	0.18%
CAT	79.16	81.08	78.99	80.8	6047400.0	33.73	1.64	2.07%
CBG	25.4	26.21	25.4	26.15	408900.0	8.72	0.75	2.95%
CELG	29.82	30.27	28.93	30.1	3298600.0	15.05	0.28	0.94%
CNP	10.47	10.54	10.4	10.45	1094100.0	7.4	-0.02	-0.19%
CTL	33.75	33.94	33.35	33.86	961400.0	23.89	0.11	0.33%
CERN	44.66	45.44	44.64	45.44	1812400.0	11.36	0.78	1.75%
SCHW	8.8	9.17	8.75	9.17	12175800.0	7.97	0.37	4.20%
CHK	16.52	16.87	16.0	16.12	3295900.0	14.84	-0.40	-2.42%
CVX	53.95	54.14	52.65	52.97	5952700.0	41.23	-0.98	-1.82%
CB	69.8	70.45	68.73	70.42	3134400.0	29.17	0.62	0.89%
CI	63.1	64.43	62.36	64.16	3625200.0	21.18	1.06	1.68%
CINF	41.38	41.7	40.89	41.58	291700.0	28.09	0.20	0.48%
CTAS	42.25	43.57	42.25	43.28	920500.0	38.57	1.03	2.44%
CSCO	18.08	18.65	17.9	18.55	62748800.0	18.13	0.47	2.60%
C	43.35	44.0	43.08	43.95	1761900.0	363.39	0.60	1.38%
CTXS	23.15	24.0	23.09	23.84	3655700.0	23.84	0.69	2.98%
