MMM	70.26	71.29	69.75	70.91	2978000.0	63.78	0.65	0.93%
ACE	49.23	51.06	49.23	50.78	3124800.0	46.16	1.55	3.15%
ABT	57.95	58.14	57.51	58.04	3815800.0	50.69	0.09	0.16%
ANF	49.8	50.94	49.75	50.78	1925000.0	47.03	0.98	1.97%
ACN	40.19	40.26	39.9	40.05	1960200.0	36.81	-0.14	-0.35%
ADBE	43.76	44.78	43.44	44.51	5308900.0	44.51	0.75	1.71%
AMD	5.58	5.82	5.54	5.76	14840600.0	5.76	0.18	3.23%
AES	15.06	15.5	15.06	15.43	3213900.0	15.43	0.37	2.46%
AET	41.58	42.98	41.47	42.65	3220700.0	41.47	1.07	2.57%
AFL	53.79	54.93	53.54	54.49	2468200.0	49.08	0.70	1.30%
A	34.32	34.84	34.31	34.63	2085900.0	34.46	0.31	0.90%
GAS	32.83	33.14	32.7	32.81	509800.0	27.73	-0.02	-0.06%
APD	91.42	92.27	91.23	91.85	977000.0	82.41	0.43	0.47%
ARG	58.28	59.22	57.8	58.83	415300.0	55.07	0.55	0.94%
AKAM	22.56	22.88	22.49	22.59	2687900.0	22.59	0.03	0.13%
AA	31.76	32.37	31.33	32.14	7655100.0	30.06	0.38	1.20%
ALXN	89.26	90.3	86.17	88.0	4870000.0	22.0	-1.26	-1.41%
ATI	50.14	50.24	49.24	49.81	1289600.0	46.44	-0.33	-0.66%
AGN	55.52	56.4	55.31	56.33	1544100.0	55.72	0.81	1.46%
ALL	44.91	45.31	44.6	45.05	2672200.0	39.5	0.14	0.31%
ANR	95.81	98.48	93.86	97.34	2612300.0	97.34	1.53	1.60%
ALTR	22.69	22.84	22.41	22.61	6502000.0	21.86	-0.08	-0.35%
MO	20.88	20.95	20.65	20.91	8857900.0	16.12	0.03	0.14%
AMZN	81.41	83.77	80.98	83.26	6157800.0	83.26	1.85	2.27%
AEE	42.05	42.22	41.7	42.04	1140800.0	33.28	-0.01	-0.02%
AEP	38.24	38.86	38.24	38.6	1569100.0	31.91	0.36	0.94%
AXP	36.84	37.54	36.5	37.01	9544900.0	34.02	0.17	0.46%
AIG	20.34	20.57	19.48	19.78	2365600.0	328.16	-0.56	-2.75%
AMT	39.58	40.56	39.34	40.34	2528800.0	40.08	0.76	1.92%
AMP	42.57	43.23	42.32	42.94	1787000.0	39.74	0.37	0.87%
ABC	41.31	41.86	40.87	41.78	3129600.0	19.93	0.47	1.14%
AMGN	63.01	63.91	62.78	63.81	6915300.0	63.15	0.80	1.27%
APH	48.53	49.05	48.0	48.9	728400.0	48.45	0.37	0.76%
APC	61.15	61.85	60.07	60.63	8439000.0	59.11	-0.52	-0.85%
ADI	29.14	29.27	28.55	28.7	6948600.0	25.35	-0.44	-1.51%
AON	45.95	46.84	45.89	46.7	1406100.0	44.31	0.75	1.63%
APA	116.99	117.64	113.87	115.89	4952300.0	112.87	-1.10	-0.94%
AIV	35.45	35.89	35.19	35.48	2134200.0	24.59	0.03	0.08%
APOL	63.0	63.2	62.03	62.71	1235500.0	62.71	-0.29	-0.46%
AAPL	174.47	175.45	171.89	174.29	19276600.0	174.29	-0.18	-0.10%
AMAT	18.29	18.49	18.15	18.36	10960500.0	16.83	0.07	0.38%
ADM	26.14	26.6	25.75	26.55	8017000.0	24.56	0.41	1.57%
AIZ	56.9	57.61	56.79	57.1	1450700.0	52.76	0.20	0.35%
T	30.46	30.86	30.32	30.76	15795500.0	24.21	0.30	0.98%
ADSK	37.06	37.06	36.23	36.62	1874700.0	36.62	-0.44	-1.19%
ADP	43.88	44.8	43.67	44.72	1703600.0	39.42	0.84	1.91%
AN	11.06	11.55	10.94	11.49	2593800.0	11.49	0.43	3.89%
AZO	133.56	135.86	132.78	134.34	874900.0	134.34	0.78	0.58%
AVB	96.08	99.07	95.89	98.23	1022700.0	81.15	2.15	2.24%
AVY	47.02	47.68	47.02	47.5	755600.0	41.23	0.48	1.02%
AVP	42.75	43.25	42.21	42.58	2002300.0	37.31	-0.17	-0.40%
BHI	81.92	81.98	80.29	81.13	4846900.0	77.29	-0.79	-0.96%
BLL	43.56	45.4	43.56	45.14	988600.0	21.87	1.58	3.63%
BAC	28.65	29.35	27.98	29.04	49905900.0	27.42	0.39	1.36%
BK	34.86	35.06	34.16	34.23	10653400.0	31.59	-0.63	-1.81%
BCR	93.17	95.69	93.01	95.65	745800.0	92.57	2.48	2.66%
BAX	68.89	70.08	68.79	70.03	2340000.0	64.05	1.14	1.65%
