MMM	74.75	75.65	74.72	74.89	3111500.0	62.68	0.14	0.19%
ACE	49.9	50.98	49.64	50.14	4494000.0	43.36	0.24	0.48%
ABT	43.46	43.47	42.53	42.75	6132500.0	34.86	-0.71	-1.63%
ANF	50.5	50.52	49.6	49.97	2213100.0	45.04	-0.53	-1.05%
ACN	26.0	26.27	26.0	26.1	1880100.0	23.48	0.10	0.38%
ADBE	30.8	31.28	30.51	31.21	7835200.0	31.21	0.41	1.33%
AMD	21.16	21.95	21.12	21.85	12118700.0	21.85	0.69	3.26%
AES	15.45	15.68	15.27	15.46	1840900.0	15.46	0.01	0.06%
AET	86.35	87.32	86.01	87.27	4155800.0	42.33	0.92	1.07%
AFL	45.69	46.04	45.45	45.87	1498000.0	39.65	0.18	0.39%
A	30.9	31.38	30.72	31.09	2229200.0	29.15	0.19	0.61%
GAS	32.7	33.22	32.58	33.1	306400.0	24.6	0.40	1.22%
APD	54.4	54.62	53.81	54.27	1114600.0	46.2	-0.13	-0.24%
ARG	27.88	27.97	27.65	27.7	407100.0	25.38	-0.18	-0.65%
AKAM	17.25	17.54	17.22	17.25	1665500.0	17.25	0.00	0.00%
AA	23.56	23.66	23.24	23.35	6312100.0	20.46	-0.21	-0.89%
ALXN	25.9	26.39	25.86	26.35	1564800.0	6.59	0.45	1.74%
ATI	27.25	27.41	26.44	27.38	1108100.0	24.93	0.13	0.48%
AGN	86.93	87.5	86.2	86.33	1425000.0	42.25	-0.60	-0.69%
ALL	53.2	54.16	52.8	53.2	4718100.0	43.34	0.00	0.00%
ANR	23.71	24.43	23.69	24.34	760200.0	24.34	0.63	2.66%
ALTR	17.46	17.64	17.3	17.36	7494100.0	16.58	-0.10	-0.57%
MO	73.1	73.49	71.84	72.97	7474400.0	11.57	-0.13	-0.18%
AMZN	45.67	46.05	45.15	45.95	4624800.0	45.95	0.28	0.61%
AEE	49.93	50.58	49.79	50.23	840400.0	34.58	0.30	0.60%
AEP	35.97	36.42	35.8	36.26	1598400.0	26.76	0.29	0.81%
AXP	47.2	48.0	46.59	47.15	9543500.0	41.99	-0.05	-0.11%
AIG	63.05	63.44	62.71	62.92	334200.0	1009.74	-0.13	-0.21%
AMT	23.04	23.61	23.04	23.38	2918100.0	23.23	0.34	1.48%
AMP	33.78	34.5	33.63	34.0	2881800.0	30.49	0.22	0.65%
ABC	75.16	75.56	74.31	75.06	4072800.0	17.14	-0.10	-0.13%
AMGN	74.47	74.67	73.13	73.37	11754200.0	72.61	-1.10	-1.48%
APH	40.02	40.57	39.85	40.02	2152800.0	19.73	0.00	0.00%
APC	85.45	87.9	84.95	86.24	5119200.0	41.24	0.79	0.92%
ADI	35.7	35.82	35.25	35.27	4391900.0	29.5	-0.43	-1.20%
AON	32.75	32.93	32.68	32.76	2060900.0	29.68	0.01	0.03%
