BMC	28.48	28.8	28.02	28.27	3314900.0	28.27	-0.21	-0.74%
BA	29.22	30.02	29.07	29.39	11675700.0	26.9	0.17	0.58%
BXP	32.66	33.42	31.12	31.49	5204900.0	28.49	-1.17	-3.58%
BSX	6.86	6.97	6.4	6.46	15788000.0	6.46	-0.40	-5.83%
BMY	18.18	18.18	17.53	17.69	16744800.0	14.96	-0.49	-2.70%
BRCM	16.26	16.9	16.11	16.32	16123300.0	15.91	0.06	0.37%
CHRW	39.46	39.66	37.69	38.39	3410800.0	36.13	-1.07	-2.71%
CA	16.17	16.39	15.39	15.4	8358900.0	14.78	-0.77	-4.76%
CVC	11.39	11.56	10.12	10.24	3379100.0	6.61	-1.15	-10.10%
COG	20.19	21.37	20.05	20.33	4986600.0	10.07	0.14	0.69%
CAM	18.29	19.05	17.85	18.08	4704100.0	18.08	-0.21	-1.15%
CPB	26.61	26.65	26.11	26.28	3454300.0	23.39	-0.33	-1.24%
COF	9.8	10.44	8.68	8.99	17894200.0	8.84	-0.81	-8.27%
CAH	30.99	31.03	30.08	30.26	2611600.0	17.2	-0.73	-2.36%
KMX	9.41	9.41	8.83	8.94	4577700.0	8.94	-0.47	-4.99%
CCL	19.23	19.62	17.88	18.1	9452000.0	17.14	-1.13	-5.88%
CAT	24.7	24.7	23.18	23.49	21400000.0	21.44	-1.21	-4.90%
CBG	2.76	3.05	2.39	2.57	7143200.0	2.57	-0.19	-6.88%
CBS	3.72	3.75	3.31	3.43	16576300.0	3.22	-0.29	-7.80%
CELG	41.8	41.82	39.6	39.95	9217000.0	39.95	-1.85	-4.43%
CNP	9.35	9.46	8.83	8.95	4626300.0	7.59	-0.40	-4.28%
CTL	25.15	25.45	24.72	25.15	3722000.0	19.01	0.00	0.00%
CERN	34.98	36.53	34.5	36.29	2982000.0	18.15	1.31	3.74%
CF	61.83	63.41	59.95	60.89	3885200.0	59.74	-0.94	-1.52%
SCHW	11.63	12.06	11.25	11.34	24236200.0	10.79	-0.29	-2.49%
CHK	14.31	15.32	14.11	14.46	17096600.0	13.79	0.15	1.05%
CVX	58.06	58.26	56.12	56.46	22266000.0	50.45	-1.60	-2.76%
CMG	50.0	51.08	49.3	49.99	451500.0	49.99	-0.01	-0.02%
CB	36.09	36.64	34.7	35.24	5488300.0	32.01	-0.85	-2.36%
CI	13.96	14.14	12.68	12.87	5870800.0	12.79	-1.09	-7.81%
CINF	19.44	19.75	18.29	18.51	2086300.0	15.2	-0.93	-4.78%
CTAS	19.17	19.34	18.57	18.6	2081800.0	17.6	-0.57	-2.97%
CSCO	14.94	15.09	14.51	14.55	67034500.0	14.22	-0.39	-2.61%
C	1.1	1.11	0.97	1.02	57908500.0	10.19	-0.08	-7.27%
CTXS	21.71	21.86	21.29	21.3	4156600.0	21.3	-0.41	-1.89%
CLF	13.7	14.06	12.9	13.11	5213900.0	12.62	-0.59	-4.31%
CLX	46.77	47.06	45.71	46.04	2274000.0	40.95	-0.73	-1.56%
CME	186.7	188.99	180.9	182.43	6577000.0	33.61	-4.27	-2.29%
CMS	10.61	10.71	10.4	10.57	4849900.0	9.25	-0.04	-0.38%
COH	13.03	13.48	12.16	12.28	8405300.0	11.78	-0.75	-5.76%
KO	39.16	39.44	37.44	37.85	18232300.0	33.98	-1.31	-3.35%
CCE	10.51	10.52	9.91	10.01	4048900.0	6.43	-0.50	-4.76%
CTSH	18.4	18.77	18.38	18.43	8188500.0	18.43	0.03	0.16%
CL	57.54	58.0	55.56	56.03	3948200.0	51.23	-1.51	-2.62%
CMCSA	12.41	12.56	11.9	12.0	26001600.0	11.19	-0.41	-3.30%
CMA	13.17	13.46	11.72	12.36	5082100.0	11.9	-0.81	-6.15%
CSC	35.54	35.97	33.94	34.18	1807000.0	32.54	-1.36	-3.83%
CAG	15.19	15.21	14.38	14.49	5025700.0	12.71	-0.70	-4.61%
COP	36.21	36.45	34.83	35.4	18734400.0	23.46	-0.81	-2.24%
CNX	24.78	26.5	24.75	25.53	5575300.0	24.67	0.75	3.03%
ED	33.92	34.22	33.33	33.62	2659200.0	28.61	-0.30	-0.88%
STZ	12.85	13.06	12.31	12.41	4245000.0	12.41	-0.44	-3.42%
CBE	20.88	20.88	19.21	19.42	2227100.0	17.92	-1.46	-6.99%
GLW	10.25	10.52	10.0	10.09	18348200.0	9.64	-0.16	-1.56%
COST	40.54	40.95	39.26	39.56	8932600.0	37.94	-0.98	-2.42%
CVH	8.8	8.81	7.97	8.02	3836300.0	7.96	-0.78	-8.86%
COV	29.5	29.5	28.17	28.31	5108500.0	26.66	-1.19	-4.03%
CCI	16.68	16.99	16.39	16.51	3231000.0	16.51	-0.17	-1.02%
CSX	23.02	23.02	21.33	22.44	35575800.0	6.99	-0.58	-2.52%
CMI	21.13	21.13	19.07	19.48	4884700.0	18.62	-1.65	-7.81%
